,uv,humidity,temperature,timestamp,apparent_temperature,is_danger,time
6426e221ad6a6413bd72ed34,0.06,59.0,23.0,2023-03-31 21:37:37.818,47.23654545454545,False,77857
6426e221f30730f33802f156,0.06,59.0,23.0,2023-03-31 21:37:37.885,47.23654545454545,False,77857
6426e272ad6a6413bd72ed35,0.06,59.0,23.0,2023-03-31 21:38:58.172,47.23654545454545,False,77938
6426e272f30730f33802f157,0.06,59.0,23.0,2023-03-31 21:38:58.208,47.23654545454545,False,77938
6426e31bad6a6413bd72ed36,0.02,69.0,29.5,2023-03-31 21:41:47.107,57.216545454545454,False,78107
6426e31bf30730f33802f158,0.02,69.0,29.5,2023-03-31 21:41:47.171,57.216545454545454,False,78107
6426e31dad6a6413bd72ed37,0.02,69.0,29.5,2023-03-31 21:41:49.175,57.216545454545454,False,78109
6426e31df30730f33802f159,0.02,69.0,29.5,2023-03-31 21:41:49.250,57.216545454545454,False,78109
6426e31fad6a6413bd72ed38,0.02,69.0,29.5,2023-03-31 21:41:51.175,57.216545454545454,False,78111
6426e31ff30730f33802f15a,0.02,69.0,29.5,2023-03-31 21:41:51.248,57.216545454545454,False,78111
6426e321ad6a6413bd72ed39,0.02,69.0,29.5,2023-03-31 21:41:53.193,57.216545454545454,False,78113
6426e321f30730f33802f15b,0.02,69.0,29.5,2023-03-31 21:41:53.245,57.216545454545454,False,78113
6426e323ad6a6413bd72ed3a,0.02,69.0,29.5,2023-03-31 21:41:55.181,57.216545454545454,False,78115
6426e323f30730f33802f15c,0.02,69.0,29.5,2023-03-31 21:41:55.239,57.216545454545454,False,78115
6426e325ad6a6413bd72ed3b,0.06,59.0,23.0,2023-03-31 21:41:57.160,47.23654545454545,False,78117
6426e325f30730f33802f15d,0.06,59.0,23.0,2023-03-31 21:41:57.246,47.23654545454545,False,78117
6426e325ad6a6413bd72ed3c,0.02,69.0,29.5,2023-03-31 21:41:57.475,57.216545454545454,False,78117
6426e325f30730f33802f15e,0.02,69.0,29.5,2023-03-31 21:41:57.505,57.216545454545454,False,78117
6426e327ad6a6413bd72ed3d,0.02,69.0,29.5,2023-03-31 21:41:59.194,57.216545454545454,False,78119
6426e327f30730f33802f15f,0.02,69.0,29.5,2023-03-31 21:41:59.232,57.216545454545454,False,78119
6426e329ad6a6413bd72ed3e,0.02,69.0,29.5,2023-03-31 21:42:01.186,57.216545454545454,False,78121
6426e329f30730f33802f160,0.02,69.0,29.5,2023-03-31 21:42:01.718,57.216545454545454,False,78121
6426e32bad6a6413bd72ed3f,0.02,69.0,29.5,2023-03-31 21:42:03.190,57.216545454545454,False,78123
6426e32bf30730f33802f161,0.02,69.0,29.5,2023-03-31 21:42:03.213,57.216545454545454,False,78123
6426e32dad6a6413bd72ed40,0.02,69.0,29.5,2023-03-31 21:42:05.201,57.216545454545454,False,78125
6426e32df30730f33802f162,0.02,69.0,29.5,2023-03-31 21:42:05.246,57.216545454545454,False,78125
6426e32fad6a6413bd72ed41,0.02,69.0,29.5,2023-03-31 21:42:07.215,57.216545454545454,False,78127
6426e32ff30730f33802f163,0.02,69.0,29.5,2023-03-31 21:42:07.240,57.216545454545454,False,78127
6426e331ad6a6413bd72ed42,0.02,69.0,29.5,2023-03-31 21:42:09.194,57.216545454545454,False,78129
6426e331f30730f33802f164,0.02,69.0,29.5,2023-03-31 21:42:09.253,57.216545454545454,False,78129
6426e333ad6a6413bd72ed43,0.01,69.0,29.5,2023-03-31 21:42:11.202,57.216545454545454,False,78131
6426e333f30730f33802f165,0.01,69.0,29.5,2023-03-31 21:42:11.246,57.216545454545454,False,78131
6426e335ad6a6413bd72ed44,0.02,69.0,29.5,2023-03-31 21:42:13.241,57.216545454545454,False,78133
6426e335f30730f33802f166,0.02,69.0,29.5,2023-03-31 21:42:13.274,57.216545454545454,False,78133
6426e337ad6a6413bd72ed45,0.02,69.0,29.5,2023-03-31 21:42:15.258,57.216545454545454,False,78135
6426e337f30730f33802f167,0.02,69.0,29.5,2023-03-31 21:42:15.291,57.216545454545454,False,78135
6426e339ad6a6413bd72ed46,0.02,69.0,29.5,2023-03-31 21:42:17.232,57.216545454545454,False,78137
6426e339f30730f33802f168,0.02,69.0,29.5,2023-03-31 21:42:17.255,57.216545454545454,False,78137
6426e33bad6a6413bd72ed47,0.02,69.0,29.5,2023-03-31 21:42:19.264,57.216545454545454,False,78139
6426e33bf30730f33802f169,0.02,69.0,29.5,2023-03-31 21:42:19.322,57.216545454545454,False,78139
6426e33dad6a6413bd72ed48,0.02,69.0,29.5,2023-03-31 21:42:21.255,57.216545454545454,False,78141
6426e33df30730f33802f16a,0.02,69.0,29.5,2023-03-31 21:42:21.264,57.216545454545454,False,78141
6426e33fad6a6413bd72ed49,0.02,69.0,29.5,2023-03-31 21:42:23.257,57.216545454545454,False,78143
6426e33ff30730f33802f16b,0.02,69.0,29.5,2023-03-31 21:42:23.320,57.216545454545454,False,78143
6426e341ad6a6413bd72ed4a,0.03,69.0,29.5,2023-03-31 21:42:25.289,57.216545454545454,False,78145
6426e341f30730f33802f16c,0.03,69.0,29.5,2023-03-31 21:42:25.332,57.216545454545454,False,78145
6426e343ad6a6413bd72ed4b,0.02,69.0,29.6,2023-03-31 21:42:27.286,57.31654545454545,False,78147
6426e343f30730f33802f16d,0.02,69.0,29.6,2023-03-31 21:42:27.331,57.31654545454545,False,78147
6426e345ad6a6413bd72ed4c,0.02,69.0,29.5,2023-03-31 21:42:29.289,57.216545454545454,False,78149
6426e345f30730f33802f16e,0.02,69.0,29.5,2023-03-31 21:42:29.336,57.216545454545454,False,78149
6426e347ad6a6413bd72ed4d,0.01,69.0,29.6,2023-03-31 21:42:31.300,57.31654545454545,False,78151
6426e347f30730f33802f16f,0.01,69.0,29.6,2023-03-31 21:42:31.319,57.31654545454545,False,78151
6426e349ad6a6413bd72ed4e,0.01,69.0,29.5,2023-03-31 21:42:33.309,57.216545454545454,False,78153
6426e349f30730f33802f170,0.01,69.0,29.5,2023-03-31 21:42:33.330,57.216545454545454,False,78153
6426e34bad6a6413bd72ed4f,0.02,69.0,29.5,2023-03-31 21:42:35.336,57.216545454545454,False,78155
6426e34bf30730f33802f171,0.02,69.0,29.5,2023-03-31 21:42:35.411,57.216545454545454,False,78155
6426e34dad6a6413bd72ed50,0.02,69.0,29.6,2023-03-31 21:42:37.352,57.31654545454545,False,78157
6426e34df30730f33802f172,0.02,69.0,29.6,2023-03-31 21:42:37.405,57.31654545454545,False,78157
6426e34fad6a6413bd72ed51,0.02,69.0,29.6,2023-03-31 21:42:39.402,57.31654545454545,False,78159
6426e34ff30730f33802f173,0.02,69.0,29.6,2023-03-31 21:42:39.403,57.31654545454545,False,78159
6426e351ad6a6413bd72ed52,0.02,69.0,29.6,2023-03-31 21:42:41.382,57.31654545454545,False,78161
6426e351f30730f33802f174,0.02,69.0,29.6,2023-03-31 21:42:41.408,57.31654545454545,False,78161
6426e353ad6a6413bd72ed53,0.02,69.0,29.6,2023-03-31 21:42:43.352,57.31654545454545,False,78163
6426e353f30730f33802f175,0.02,69.0,29.6,2023-03-31 21:42:43.380,57.31654545454545,False,78163
6426e355f30730f33802f176,0.02,69.0,29.6,2023-03-31 21:42:45.426,57.31654545454545,False,78165
6426e355ad6a6413bd72ed54,0.02,69.0,29.6,2023-03-31 21:42:45.426,57.31654545454545,False,78165
6426e357ad6a6413bd72ed55,0.02,69.0,29.6,2023-03-31 21:42:47.372,57.31654545454545,False,78167
6426e357f30730f33802f177,0.02,69.0,29.6,2023-03-31 21:42:47.403,57.31654545454545,False,78167
6426e359ad6a6413bd72ed56,0.03,69.0,29.6,2023-03-31 21:42:49.429,57.31654545454545,False,78169
6426e359f30730f33802f178,0.03,69.0,29.6,2023-03-31 21:42:49.429,57.31654545454545,False,78169
6426e35bad6a6413bd72ed57,0.02,69.0,29.6,2023-03-31 21:42:51.390,57.31654545454545,False,78171
6426e35bf30730f33802f179,0.02,69.0,29.6,2023-03-31 21:42:51.424,57.31654545454545,False,78171
6426e35dad6a6413bd72ed58,0.03,69.0,29.6,2023-03-31 21:42:53.417,57.31654545454545,False,78173
6426e35df30730f33802f17a,0.03,69.0,29.6,2023-03-31 21:42:53.440,57.31654545454545,False,78173
6426e35fad6a6413bd72ed59,0.02,69.0,29.6,2023-03-31 21:42:55.743,57.31654545454545,False,78175
6426e35ff30730f33802f17b,0.02,69.0,29.6,2023-03-31 21:42:55.794,57.31654545454545,False,78175
6426e361ad6a6413bd72ed5a,0.06,59.0,23.0,2023-03-31 21:42:57.370,47.23654545454545,False,78177
6426e361f30730f33802f17c,0.06,59.0,23.0,2023-03-31 21:42:57.404,47.23654545454545,False,78177
6426e361ad6a6413bd72ed5b,2000.0,69.0,29.6,2023-03-31 21:42:57.685,57.31654545454545,True,78177
6426e361f30730f33802f17d,2000.0,69.0,29.6,2023-03-31 21:42:57.718,57.31654545454545,True,78177
6426e363ad6a6413bd72ed5c,0.02,69.0,29.6,2023-03-31 21:42:59.471,57.31654545454545,False,78179
6426e363f30730f33802f17e,0.02,69.0,29.6,2023-03-31 21:42:59.472,57.31654545454545,False,78179
6426e365f30730f33802f17f,0.01,69.0,29.6,2023-03-31 21:43:01.487,57.31654545454545,False,78181
6426e365ad6a6413bd72ed5d,0.01,69.0,29.6,2023-03-31 21:43:01.485,57.31654545454545,False,78181
6426e367ad6a6413bd72ed5e,0.02,69.0,29.6,2023-03-31 21:43:03.415,57.31654545454545,False,78183
6426e367f30730f33802f180,0.02,69.0,29.6,2023-03-31 21:43:03.485,57.31654545454545,False,78183
6426e369f30730f33802f181,0.03,69.0,29.6,2023-03-31 21:43:05.514,57.31654545454545,False,78185
6426e369ad6a6413bd72ed5f,0.03,69.0,29.6,2023-03-31 21:43:05.514,57.31654545454545,False,78185
6426e36bad6a6413bd72ed60,0.02,69.0,29.6,2023-03-31 21:43:07.422,57.31654545454545,False,78187
6426e36bf30730f33802f182,0.02,69.0,29.6,2023-03-31 21:43:07.457,57.31654545454545,False,78187
6426e36dad6a6413bd72ed61,0.02,69.0,29.6,2023-03-31 21:43:09.458,57.31654545454545,False,78189
6426e36df30730f33802f183,0.02,69.0,29.6,2023-03-31 21:43:09.471,57.31654545454545,False,78189
6426e36fad6a6413bd72ed62,0.02,69.0,29.6,2023-03-31 21:43:11.453,57.31654545454545,False,78191
6426e36ff30730f33802f184,0.02,69.0,29.6,2023-03-31 21:43:11.471,57.31654545454545,False,78191
6426e371ad6a6413bd72ed63,0.02,69.0,29.6,2023-03-31 21:43:13.453,57.31654545454545,False,78193
6426e371f30730f33802f185,0.02,69.0,29.6,2023-03-31 21:43:13.484,57.31654545454545,False,78193
6426e373f30730f33802f186,0.02,69.0,29.6,2023-03-31 21:43:15.514,57.31654545454545,False,78195
6426e373ad6a6413bd72ed64,0.02,69.0,29.6,2023-03-31 21:43:15.516,57.31654545454545,False,78195
6426e375ad6a6413bd72ed65,0.02,69.0,29.6,2023-03-31 21:43:17.499,57.31654545454545,False,78197
6426e375f30730f33802f187,0.02,69.0,29.6,2023-03-31 21:43:17.506,57.31654545454545,False,78197
6426e377ad6a6413bd72ed66,0.02,69.0,29.6,2023-03-31 21:43:19.454,57.31654545454545,False,78199
6426e377f30730f33802f188,0.02,69.0,29.6,2023-03-31 21:43:19.483,57.31654545454545,False,78199
6426e379ad6a6413bd72ed67,0.01,69.0,29.6,2023-03-31 21:43:21.498,57.31654545454545,False,78201
6426e379f30730f33802f189,0.01,69.0,29.6,2023-03-31 21:43:21.968,57.31654545454545,False,78201
6426e37bad6a6413bd72ed68,0.03,69.0,29.6,2023-03-31 21:43:23.506,57.31654545454545,False,78203
6426e37bf30730f33802f18a,0.03,69.0,29.6,2023-03-31 21:43:23.568,57.31654545454545,False,78203
6426e37dad6a6413bd72ed69,0.02,69.0,29.6,2023-03-31 21:43:25.513,57.31654545454545,False,78205
6426e37df30730f33802f18b,0.02,69.0,29.6,2023-03-31 21:43:25.546,57.31654545454545,False,78205
6426e37fad6a6413bd72ed6a,0.01,69.0,29.6,2023-03-31 21:43:27.495,57.31654545454545,False,78207
6426e37ff30730f33802f18c,0.01,69.0,29.6,2023-03-31 21:43:27.553,57.31654545454545,False,78207
6426e381ad6a6413bd72ed6b,0.03,69.0,29.6,2023-03-31 21:43:29.544,57.31654545454545,False,78209
6426e381f30730f33802f18d,0.03,69.0,29.6,2023-03-31 21:43:29.553,57.31654545454545,False,78209
6426e383ad6a6413bd72ed6c,0.02,69.0,29.6,2023-03-31 21:43:31.523,57.31654545454545,False,78211
6426e383f30730f33802f18e,0.02,69.0,29.6,2023-03-31 21:43:31.571,57.31654545454545,False,78211
6426e385ad6a6413bd72ed6d,0.03,69.0,29.6,2023-03-31 21:43:33.570,57.31654545454545,False,78213
